legacy_id,status,positions,units_per_position,sample_quantity,reason
bitrix24:114:8086,VERIFIED,2,3,6,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:8088,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:8094,AMBIGUOUS,19,3,,"The object text contains 19 entries but repeats one designation; it is unclear whether the duplicate is a separate physical position."
bitrix24:114:8112,VERIFIED,2,3,6,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:8148,VERIFIED,3,3,9,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:8212,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:8218,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:8276,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:8498,VERIFIED,2,1,2,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:8502,VERIFIED,2,2,4,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:8504,VERIFIED,1,2,2,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:8514,VERIFIED,2,1,2,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:8672,VERIFIED,4,1,4,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:8674,VERIFIED,2,3,6,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:8796,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:8806,VERIFIED,1,5,5,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:8896,VERIFIED,3,3,9,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:8904,VERIFIED,1,10,10,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:9046,VERIFIED,4,3,12,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:9202,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:9344,VERIFIED,3,1,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:9380,VERIFIED,2,3,6,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:9382,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:9432,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:9534,VERIFIED,1,1,1,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:11424,AMBIGUOUS,11,1,,"The object text can be read as 10 entries or 11 when a slash-separated designation is treated as two positions."
bitrix24:114:12306,VERIFIED,2,1,2,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:12360,VERIFIED,4,1,4,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:12480,VERIFIED,5,1,5,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:12760,AMBIGUOUS,4,1,,"The four positions appear to be combinations of pole count and IP rating, but the card does not explicitly enumerate those combinations."
bitrix24:114:12840,VERIFIED,4,1,4,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:12846,VERIFIED,4,1,4,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:13192,VERIFIED,4,1,4,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:13206,VERIFIED,6,1,6,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:13548,VERIFIED,2,1,2,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:14090,VERIFIED,8,3,24,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:14386,VERIFIED,3,1,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:14430,VERIFIED,10,3,30,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:14702,VERIFIED,2,1,2,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:14814,AMBIGUOUS,13,3,,"The object text contains 14 entries with one designation duplicated, while countTestItems declares 13 positions."
bitrix24:114:14818,VERIFIED,5,1,5,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:14828,VERIFIED,4,1,4,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:15006,VERIFIED,7,1,7,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:15026,VERIFIED,3,1,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:15206,VERIFIED,20,1,20,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:15230,VERIFIED,2,3,6,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:15466,VERIFIED,4,1,4,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:15468,VERIFIED,2,3,6,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:15486,VERIFIED,3,1,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:15518,VERIFIED,5,3,15,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:15552,VERIFIED,2,3,6,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:15746,VERIFIED,9,5,45,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:16202,VERIFIED,8,3,24,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:16414,VERIFIED,7,3,21,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:16416,VERIFIED,2,3,6,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:16428,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:16462,VERIFIED,7,3,21,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:16476,VERIFIED,5,1,5,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:16616,VERIFIED,6,1,6,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:16718,VERIFIED,2,5,10,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:16832,VERIFIED,7,3,21,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:16834,CONFLICT,1,1,,"countTestItems declares 1 position, but the card lists two shaft variants and separate report metadata exists for both."
bitrix24:114:16914,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:17028,VERIFIED,4,1,4,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:17208,VERIFIED,7,3,21,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:17446,VERIFIED,1,3,3,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:17546,VERIFIED,2,3,6,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:17778,VERIFIED,9,5,45,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:17812,VERIFIED,4,1,4,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:18442,VERIFIED,2,1,2,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:19058,VERIFIED,6,1,6,"Card fields and available attachment metadata agree with the declared nomenclature position count."
bitrix24:114:19726,VERIFIED,6,1,6,"Card fields and available attachment metadata agree with the declared nomenclature position count."
